"","id","prize","year","name","gender","yob","yod","univ","city","country","Flagged"
"67","1190321","1","1903","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"68","1190331","1","1903","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"69","1190341","1","1903","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"70","1190351","1","1903","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"71","1190361","1","1903","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"72","1190371","1","1903","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"73","1190381","1","1903","Henri A Becquerel","M","1852","1908","École Polytechnique","Paris","FRANCE (FR) ","CORRECT"
"74","1190391","1","1903","Henri A Becquerel","M","1852","1908","École Polytechnique","Paris","FRANCE (FR) ","CORRECT"
"75","1190392","1","1903","Marie  Curie","F","1867","1934",NA,"Paris","FRANCE (FR) ","CORRECT"
"76","1190393","1","1903","Pierre  Curie","M","1859","1906","Municipal School of Industrial Physics and Chemistry","Paris","FRANCE (FR) ","CORRECT"
"77","11903101","1","1903","Henri A Becquerel","M","1852","1908","École Polytechnique","Paris","FRANCE (FR) ","CORRECT"
"78","11903102","1","1903","Pierre  Curie","M","1859","1906","Municipal School of Industrial Physics and Chemistry","Paris","FRANCE (FR) ","CORRECT"
"79","11903111","1","1903","Henri A Becquerel","M","1852","1908","École Polytechnique","Paris","FRANCE (FR) ","CORRECT"
"80","11903112","1","1903","Pierre  Curie","M","1859","1906","Municipal School of Industrial Physics and Chemistry","Paris","FRANCE (FR) ","CORRECT"
"81","11903121","1","1903","Henri A Becquerel","M","1852","1908","École Polytechnique","Paris","FRANCE (FR) ","CORRECT"
"82","11903122","1","1903","Pierre  Curie","M","1859","1906","Municipal School of Industrial Physics and Chemistry","Paris","FRANCE (FR) ","CORRECT"
"83","11903131","1","1903","Henri A Becquerel","M","1852","1908","École Polytechnique","Paris","FRANCE (FR) ","CORRECT"
"84","11903132","1","1903","Pierre  Curie","M","1859","1906","Municipal School of Industrial Physics and Chemistry","Paris","FRANCE (FR) ","CORRECT"
"85","11903141","1","1903","René  Benoit","M","1844",NA,NA,NA,"FRANCE (FR) ","CORRECT"
"86","11903142","1","1903","Pierre  Chappuis","M","1855","1938","International Bureau of Weights and Measures","Sèvres","FRANCE (FR) ","CORRECT"
"87","11903143","1","1903","Charles E Guillaume","M","1861",NA,NA,NA,"FRANCE (FR) ","CORRECT"
"88","11903151","1","1903","Ludwig  Boltzmann","M","1844","1906",NA,NA,"AUSTRIA (AT) ","CORRECT"
"89","11903161","1","1903","Wilhelm  Hittorf","M","1824",NA,NA,NA,"GERMANY (DE) ","CORRECT"
"90","11903171","1","1903","John  Kerr","M","1824",NA,NA,NA,"UNITED KINGDOM (GB) ","CORRECT"
"91","11903181","1","1903","Gustave  Le Bon","M","1841",NA,NA,NA,"FRANCE (FR) ","CORRECT"
"92","11903191","1","1903","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"93","11903201","1","1903","Gabriel  Lippmann","M","1845","1921","Sorbonne","Paris","FRANCE (FR) ","CORRECT"
"94","11903211","1","1903","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"95","11903221","1","1903","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"96","11903231","1","1903","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"97","11903241","1","1903","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"98","11903251","1","1903","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"99","11903261","1","1903","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"100","11903271","1","1903","John W Strutt, Lord Rayleigh","M","1842","1919","Royal Institution of Great Britain","London","UNITED KINGDOM (GB) ","CORRECT"
